p_c,nu,loss,delta_loss,log10_one_plus_delta_loss
0.08133333333333333,0.825,7253.246393769235,7226.688931836809,3.858999452951724
0.08133333333333333,0.8729166666666667,6230.275029656258,6203.717567723833,3.7927220176525314
0.08133333333333333,0.9208333333333333,5346.1703583454255,5319.612896413,3.725961662783523
0.08133333333333333,0.96875,4582.298866940649,4555.741405008223,3.658654383077817
0.08133333333333333,1.0166666666666666,3922.802491300679,3896.2450293682537,3.590757711811983
0.08133333333333333,1.0645833333333334,3354.0391937252552,3327.48173179283,3.5222461776904717
0.08133333333333333,1.1125,2864.198051372482,2837.640589440057,3.4531104084103004
0.08133333333333333,1.1604166666666667,2443.0199777093912,2416.462515776966,3.383359748807808
0.08133333333333333,1.2083333333333333,2081.5826809848577,2055.0252190524325,3.313028437379726
0.08133333333333333,1.25625,1772.1258980530563,1745.5684361206308,3.242185607349706
0.08133333333333333,1.3041666666666667,1507.9034780591005,1481.346016126675,3.170949590522121
0.08133333333333333,1.3520833333333333,1283.0549608707645,1256.497498938339,3.0995071299519346
0.08133333333333333,1.4,1092.4926186334112,1065.9351567009858,3.028138025851197
0.08133333333333333,1.4479166666666667,931.8016453544894,905.244183422064,2.9572452321409175
0.08133333333333333,1.4958333333333333,797.1520056739234,770.594543741498,2.8873891479099787
0.08133333333333333,1.54375,685.2208184996506,658.6633565672252,2.819322360262587
0.08133333333333333,1.5916666666666666,593.1242971687959,566.5668352363705,2.754017010297338
0.08133333333333333,1.6395833333333334,518.3583250230879,491.80086309066246,2.692671459779713
0.08133333333333333,1.6875,458.74677754205356,432.1893156096281,2.6366777364366523
0.08133333333333333,1.7354166666666666,412.39673685625274,385.8392749238273,2.587530560593985
0.08133333333333333,1.7833333333333334,377.6597902376414,351.10232830521596,2.54666889688718
0.08133333333333333,1.83125,353.098661000996,326.54119906857056,2.515265934565377
0.08133333333333333,1.8791666666666667,337.45848477826274,310.9010228458373,2.494016798981493
0.08133333333333333,1.9270833333333333,329.64211230457516,303.0846503721497,2.4829944983193313
0.08133333333333333,1.975,328.6888881355689,302.13142620314346,2.4816309628246307
0.08133333333333333,2.0229166666666667,333.7564204400411,307.19895850761566,2.488831166779676
0.08133333333333333,2.0708333333333333,344.10491841766844,317.547456485243,2.5031741417086466
0.08133333333333333,2.11875,359.08372997460793,332.5262680421825,2.523130043999246
0.08133333333333333,2.1666666666666665,378.11976262389226,351.5623006914668,2.547235871556629
0.08133333333333333,2.214583333333333,400.7075151424847,374.15005321005924,2.5742050123851
0.08133333333333333,2.2625,426.400486557583,399.84302462515757,2.6029743305100284
0.08133333333333333,2.310416666666667,454.80376295336924,428.2463010209438,2.6327065613679235
0.08133333333333333,2.3583333333333334,485.5676118672283,459.0101499348029,2.662767414316455
0.08133333333333333,2.40625,518.3819391895258,491.8244772571004,2.6926922699227984
0.08133333333333333,2.4541666666666666,552.9714849927476,526.4140230603222,2.722151672777767
0.08133333333333333,2.502083333333333,589.0916530654479,562.5341911330224,2.7509202709942415
