d,p,batch,batch_shots,failure_count,failure_rate
7,0.03,9,1000,0,0.0
7,0.03,10,1000,2,0.002
7,0.03,11,1000,2,0.002
7,0.03,12,1000,2,0.002
7,0.03,13,1000,1,0.001
7,0.03,14,1000,3,0.003
7,0.03,15,1000,2,0.002
7,0.03,16,1000,2,0.002
7,0.03,17,1000,1,0.001
7,0.03,18,1000,3,0.003
7,0.03,19,1000,1,0.001
7,0.03,20,1000,2,0.002
7,0.03,21,1000,0,0.0
7,0.03,22,1000,1,0.001
7,0.03,23,1000,3,0.003
7,0.03,24,1000,1,0.001
7,0.03,25,1000,1,0.001
7,0.03,26,1000,0,0.0
7,0.03,27,1000,1,0.001
7,0.03,28,1000,1,0.001
7,0.03,29,1000,2,0.002
7,0.03,30,1000,2,0.002
7,0.03,31,1000,3,0.003
7,0.03,32,1000,0,0.0
7,0.03,33,1000,0,0.0
7,0.03,34,1000,0,0.0
7,0.03,35,1000,1,0.001
7,0.03,36,1000,1,0.001
7,0.03,37,1000,1,0.001
7,0.03,38,1000,2,0.002
7,0.03,39,1000,0,0.0
7,0.03,40,1000,2,0.002
7,0.03,41,1000,2,0.002
7,0.03,42,1000,0,0.0
7,0.03,43,1000,2,0.002
7,0.03,44,1000,2,0.002
7,0.03,45,1000,2,0.002
7,0.03,46,1000,1,0.001
7,0.03,47,1000,0,0.0
7,0.03,48,1000,3,0.003
7,0.03,49,1000,0,0.0
7,0.03,50,1000,0,0.0
7,0.03,51,1000,1,0.001
7,0.03,52,1000,3,0.003
7,0.03,53,1000,1,0.001
7,0.03,54,1000,1,0.001
7,0.03,55,1000,0,0.0
7,0.03,56,1000,1,0.001
7,0.03,57,1000,2,0.002
7,0.03,58,1000,1,0.001
7,0.03,59,1000,2,0.002
7,0.03,60,1000,1,0.001
7,0.03,61,1000,2,0.002
7,0.03,62,1000,1,0.001
7,0.03,63,1000,1,0.001
7,0.03,64,1000,1,0.001
7,0.03,65,1000,1,0.001
7,0.03,66,1000,1,0.001
7,0.03,67,1000,2,0.002
7,0.03,68,1000,1,0.001
7,0.03,69,1000,1,0.001
7,0.03,70,1000,4,0.004
7,0.03,71,1000,1,0.001
7,0.03,72,1000,0,0.0
7,0.03,73,1000,4,0.004
7,0.03,74,1000,2,0.002
7,0.03,75,1000,1,0.001
7,0.03,76,1000,1,0.001
7,0.03,77,1000,2,0.002
7,0.03,78,1000,1,0.001
7,0.03,79,1000,2,0.002
7,0.03,80,1000,0,0.0
7,0.03,81,1000,1,0.001
7,0.03,82,1000,1,0.001
7,0.03,83,1000,1,0.001
7,0.03,84,1000,1,0.001
7,0.03,85,1000,0,0.0
7,0.03,86,1000,2,0.002
7,0.03,87,1000,2,0.002
7,0.03,88,1000,1,0.001
7,0.03,89,1000,5,0.005
7,0.03,90,1000,1,0.001
7,0.03,91,1000,2,0.002
7,0.03,92,1000,1,0.001
7,0.03,93,1000,1,0.001
7,0.03,94,1000,3,0.003
7,0.03,95,1000,1,0.001
7,0.03,96,1000,3,0.003
7,0.03,97,1000,0,0.0
7,0.03,98,1000,4,0.004
7,0.03,99,1000,2,0.002
7,0.03,100,1000,1,0.001
7,0.035,1,1000,1,0.001
7,0.035,2,1000,1,0.001
7,0.035,3,1000,1,0.001
7,0.035,4,1000,2,0.002
7,0.035,5,1000,3,0.003
7,0.035,6,1000,1,0.001
7,0.035,7,1000,3,0.003
7,0.035,8,1000,4,0.004
7,0.035,9,1000,4,0.004
7,0.035,10,1000,3,0.003
7,0.035,11,1000,1,0.001
7,0.035,12,1000,2,0.002
7,0.035,13,1000,1,0.001
7,0.035,14,1000,3,0.003
7,0.035,15,1000,2,0.002
7,0.035,16,1000,0,0.0
7,0.035,17,1000,4,0.004
7,0.035,18,1000,6,0.006
7,0.035,19,1000,5,0.005
7,0.035,20,1000,3,0.003
7,0.035,21,1000,1,0.001
7,0.035,22,1000,2,0.002
7,0.035,23,1000,2,0.002
7,0.035,24,1000,4,0.004
7,0.035,25,1000,1,0.001
7,0.035,26,1000,1,0.001
7,0.035,27,1000,2,0.002
7,0.035,28,1000,1,0.001
7,0.035,29,1000,5,0.005
7,0.035,30,1000,3,0.003
7,0.035,31,1000,2,0.002
7,0.035,32,1000,1,0.001
7,0.035,33,1000,2,0.002
7,0.035,34,1000,1,0.001
7,0.035,35,1000,3,0.003
7,0.035,36,1000,4,0.004
7,0.035,37,1000,2,0.002
7,0.035,38,1000,3,0.003
7,0.035,39,1000,2,0.002
7,0.035,40,1000,0,0.0
7,0.035,41,1000,6,0.006
7,0.035,42,1000,3,0.003
7,0.035,43,1000,2,0.002
7,0.035,44,1000,2,0.002
7,0.035,45,1000,0,0.0
7,0.035,46,1000,1,0.001
7,0.035,47,1000,2,0.002
7,0.035,48,1000,2,0.002
7,0.035,49,1000,1,0.001
7,0.035,50,1000,3,0.003
7,0.035,51,1000,4,0.004
7,0.035,52,1000,2,0.002
7,0.035,53,1000,4,0.004
7,0.035,54,1000,2,0.002
7,0.035,55,1000,6,0.006
